timestamp,location-long,location-lat,manually-marked-outlier,individual-taxon-canonical-name,utm-easting,utm-northing
10/26/2007,23.60264,-19.426674,,Equus burchellii,773295.5264,7849895.409
10/26/2007,23.6023897,-19.4279549,,Equus burchellii,773267.0845,7849753.957
10/26/2007,23.6985658,-19.4604221,,Equus burchellii,783315.5066,7846002.639
10/26/2007,23.6020647,-19.428054,,Equus burchellii,773232.7732,7849743.498
10/26/2007,23.6974174,-19.461484,,Equus burchellii,783193.0231,7845886.928
10/26/2007,23.7016519,-19.4653611,,Equus burchellii,783631.096,7845450.552
10/26/2007,23.6027827,-19.4282572,,Equus burchellii,773307.868,7849719.855
10/26/2007,23.6001245,-19.428364,,Equus burchellii,773028.412,7849712.248
10/26/2007,23.7036013,-19.4665817,,Equus burchellii,783833.7441,7845312.149
10/26/2007,23.7046625,-19.4678964,,Equus burchellii,783942.9251,7845164.792
10/26/2007,23.6006217,-19.4284756,,Equus burchellii,773080.4623,7849699.1
10/26/2007,23.6000922,-19.4287459,,Equus burchellii,773024.3796,7849670.007
10/26/2007,23.705782,-19.4681216,,Equus burchellii,784060.1289,7845137.999
10/26/2007,23.6000629,-19.4284858,,Equus burchellii,773021.7364,7849698.858
10/26/2007,23.705949,-19.4682466,,Equus burchellii,784077.4532,7845123.879
10/26/2007,23.7052181,-19.4698178,,Equus burchellii,783997.9363,7844951.077
10/26/2007,23.5967663,-19.4288757,,Equus burchellii,772674.7368,7849660.908
10/26/2007,23.5761173,-19.4164237,,Equus burchellii,770525.9589,7851072.448
10/26/2007,23.7061285,-19.4709591,,Equus burchellii,784091.5758,7844823.172
10/26/2007,23.7072355,-19.4712253,,Equus burchellii,784207.3926,7844791.858
10/26/2007,23.5744392,-19.4140186,,Equus burchellii,770353.6242,7851341.426
10/27/2007,23.5746512,-19.4140176,,Equus burchellii,770375.9007,7851341.204
10/27/2007,23.7077011,-19.47087,,Equus burchellii,784256.9204,7844830.436
10/27/2007,23.5743361,-19.4139554,,Equus burchellii,770342.8961,7851348.587
10/27/2007,23.7085826,-19.470423,,Equus burchellii,784350.2957,7844878.482
10/27/2007,23.5691266,-19.4112015,,Equus burchellii,769800.0826,7851661.726
10/27/2007,23.7092774,-19.4693288,,Equus burchellii,784425.1907,7844998.514
10/27/2007,23.5642696,-19.4104846,,Equus burchellii,769290.9328,7851748.718
10/27/2007,23.7085319,-19.469443,,Equus burchellii,784346.6815,7844987.101
10/27/2007,23.5634887,-19.4111621,,Equus burchellii,769207.766,7851674.913
10/27/2007,23.7084493,-19.4710122,,Equus burchellii,784335.2646,7844813.449
10/27/2007,23.7070346,-19.4727376,,Equus burchellii,784183.6498,7844624.703
10/27/2007,23.5537409,-19.4052978,,Equus burchellii,768193.1812,7852339.531
10/27/2007,23.5266451,-19.3974153,,Equus burchellii,765358.9273,7853254.381
10/27/2007,23.7070146,-19.471967,,Equus burchellii,784182.8942,7844710.08
10/27/2007,23.5351659,-19.4043577,,Equus burchellii,766242.9684,7852472.452
10/27/2007,23.7036394,-19.4694648,,Equus burchellii,783832.7209,7844992.783
10/27/2007,23.7037172,-19.4694309,,Equus burchellii,783840.9523,7844996.409
10/27/2007,23.5535378,-19.4152129,,Equus burchellii,768155.5672,7851241.859
10/27/2007,23.5563735,-19.4150896,,Equus burchellii,768453.7112,7851251.093
10/27/2007,23.7038688,-19.4696472,,Equus burchellii,783856.4998,7844972.203
10/27/2007,23.5614392,-19.4123149,,Equus burchellii,768990.5248,7851550.456
10/27/2007,23.703616,-19.4688066,,Equus burchellii,783831.4102,7845065.717
10/27/2007,23.7034656,-19.467982,,Equus burchellii,783817.049,7845157.291
10/27/2007,23.5629481,-19.4107909,,Equus burchellii,769151.5761,7851716.865
10/27/2007,23.703211,-19.4681967,,Equus burchellii,783789.9307,7845133.933
10/27/2007,23.5630067,-19.4102265,,Equus burchellii,769158.6631,7851779.275
