event-id,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp
209274835,2008-12-06 18:00:00.000,9.0151,47.72267,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501132.41572949465,5285477.005241751,32N,Central European Time,2008-12-06 19:00:00.000
209274836,2008-12-06 23:00:00.000,9.015,47.72233,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501124.923607238,5285439.216031967,32N,Central European Time,2008-12-07 00:00:00.000
209274837,2008-12-07 06:00:00.000,9.0148,47.7215,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501109.9422559703,5285346.966583714,32N,Central European Time,2008-12-07 07:00:00.000
209274838,2008-12-07 07:00:00.000,9.0171,47.72817,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501282.2695782681,5286088.309200963,32N,Central European Time,2008-12-07 08:00:00.000
209274839,2008-12-07 09:00:00.000,9.0178,47.73133,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501334.6794077529,5286439.525290954,32N,Central European Time,2008-12-07 10:00:00.000
209274840,2008-12-07 18:00:00.000,9.0146,47.72217,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501094.9289971105,5285421.427827849,32N,Central European Time,2008-12-07 19:00:00.000
209274841,2008-12-07 23:00:00.000,9.0178,47.73133,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501334.6794077529,5286439.525290954,32N,Central European Time,2008-12-08 00:00:00.000
209274842,2008-12-08 06:00:00.000,9.0203,47.7295,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501522.1877039832,5286236.18411125,32N,Central European Time,2008-12-08 07:00:00.000
209274843,2008-12-08 09:00:00.000,9.0238,47.72883,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501784.65674706694,5286161.794663213,32N,Central European Time,2008-12-08 10:00:00.000
209274844,2008-12-08 13:00:00.000,9.0195,47.73,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),501462.1860163713,5286291.738988193,32N,Central European Time,2008-12-08 14:00:00.000
209274845,2008-12-09 07:00:00.000,9.0081,47.69683,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500607.7551325025,5282605.063836838,32N,Central European Time,2008-12-09 08:00:00.000
209274846,2008-12-09 09:00:00.000,9.0045,47.69917,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500337.6266333804,5282865.109403438,32N,Central European Time,2008-12-09 10:00:00.000
209274847,2008-12-09 13:00:00.000,9.0426,47.69433,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503196.494567073,5282328.061087828,32N,Central European Time,2008-12-09 14:00:00.000
209274848,2008-12-09 16:00:00.000,9.0355,47.702,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),502663.35484200146,5283180.23614493,32N,Central European Time,2008-12-09 17:00:00.000
209274849,2008-12-09 18:00:00.000,9.0433,47.6965,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503248.8843282467,5282569.263829312,32N,Central European Time,2008-12-09 19:00:00.000
209274850,2008-12-09 23:00:00.000,9.0053,47.69783,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500397.65933500446,5282716.185625447,32N,Central European Time,2008-12-10 00:00:00.000
209274851,2008-12-10 05:00:00.000,9.005,47.69817,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500375.1478771254,5282753.971719318,32N,Central European Time,2008-12-10 06:00:00.000
209274852,2008-12-10 07:00:00.000,9.0056,47.696,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500420.1830561009,5282512.801100128,32N,Central European Time,2008-12-10 08:00:00.000
209274853,2008-12-10 11:00:00.000,9.0048,47.69967,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500360.13163233834,5282920.680754013,32N,Central European Time,2008-12-10 12:00:00.000
209274854,2008-12-12 17:00:00.000,9.0428,47.7035,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503210.93850554916,5283347.2230335325,32N,Central European Time,2008-12-12 18:00:00.000
209274855,2008-12-12 23:00:00.000,9.044,47.70433,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503300.91241839685,5283439.519742891,32N,Central European Time,2008-12-13 00:00:00.000
209274856,2008-12-13 05:00:00.000,9.0431,47.705,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503233.352323369,5283513.945647941,32N,Central European Time,2008-12-13 06:00:00.000
209274857,2008-12-13 07:00:00.000,9.0421,47.70283,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503158.4636278634,5283272.7304079,32N,Central European Time,2008-12-13 08:00:00.000
209274858,2008-12-14 11:00:00.000,9.043,47.70317,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503225.96325040184,5283310.555119508,32N,Central European Time,2008-12-14 12:00:00.000
209274859,2008-12-14 23:00:00.000,9.0441,47.70433,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503308.41449193755,5283439.524009176,32N,Central European Time,2008-12-15 00:00:00.000
209274860,2008-12-15 16:00:00.000,9.0366,47.70817,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),502745.5573143348,5283866.009012593,32N,Central European Time,2008-12-15 17:00:00.000
209274861,2009-03-10 09:00:00.000,9.0473,47.70333,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503548.5487105229,5283328.525562659,32N,Central European Time,2009-03-10 10:00:00.000
209274862,2009-03-11 09:00:00.000,9.0471,47.70317,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503533.5550890554,5283310.734008692,32N,Central European Time,2009-03-11 10:00:00.000
209274863,2009-04-06 07:00:00.000,9.0475,47.70333,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503563.55314449844,5283328.534744157,32N,Central European Time,2009-04-06 09:00:00.000
209274864,2009-04-06 13:00:00.000,9.047,47.70283,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503526.07577682077,5283272.941829667,32N,Central European Time,2009-04-06 15:00:00.000
209274865,2009-04-07 11:00:00.000,9.0475,47.70333,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503563.55314449844,5283328.534744157,32N,Central European Time,2009-04-07 13:00:00.000
209274866,2009-04-07 13:00:00.000,9.0473,47.70317,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503548.5595689478,5283310.743151454,32N,Central European Time,2009-04-07 15:00:00.000
209274867,2009-04-08 07:00:00.000,9.0471,47.70317,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503533.5550890554,5283310.734008692,32N,Central European Time,2009-04-08 09:00:00.000
209274868,2009-04-08 23:00:00.000,9.0473,47.70333,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503548.5487105229,5283328.525562659,32N,Central European Time,2009-04-09 01:00:00.000
209274869,2009-04-09 13:00:00.000,9.0473,47.70317,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503548.5595689478,5283310.743151454,32N,Central European Time,2009-04-09 15:00:00.000
209274870,2009-04-10 23:00:00.000,9.009,47.73133,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500674.8379035545,5286439.411094416,32N,Central European Time,2009-04-11 01:00:00.000
209274871,2009-04-11 06:00:00.000,9.0421,47.70133,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503158.55423259694,5283106.020335914,32N,Central European Time,2009-04-11 08:00:00.000
209274872,2009-04-11 09:00:00.000,9.0405,47.7025,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503038.44618299016,5283235.990188833,32N,Central European Time,2009-04-11 11:00:00.000
209274873,2009-04-11 11:00:00.000,9.0435,47.70233,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),503263.526876809,5283217.218412493,32N,Central European Time,2009-04-11 13:00:00.000
209274874,2009-04-11 13:00:00.000,9.0331,47.70817,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),502483.0040221084,5283865.890880153,32N,Central European Time,2009-04-11 15:00:00.000
209274875,2009-04-12 06:00:00.000,9.0058,47.72983,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500434.9080260149,5286272.677254055,32N,Central European Time,2009-04-12 08:00:00.000
209274876,2009-04-12 09:00:00.000,9.001,47.73183,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500074.98127159564,5286494.942669917,32N,Central European Time,2009-04-12 11:00:00.000
209274877,2009-04-12 11:00:00.000,9.0018,47.7305,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500134.96972527547,5286347.126734173,32N,Central European Time,2009-04-12 13:00:00.000
209274878,2009-04-12 13:00:00.000,9.0015,47.73083,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500112.47406053444,5286383.802655144,32N,Central European Time,2009-04-12 15:00:00.000
209274879,2009-04-13 06:00:00.000,9.002,47.73083,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500149.9654140447,5286383.803502516,32N,Central European Time,2009-04-13 08:00:00.000
209274880,2009-04-13 09:00:00.000,9.0015,47.73083,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500112.47406053444,5286383.802655144,32N,Central European Time,2009-04-13 11:00:00.000
209274881,2009-04-13 11:00:00.000,9.0016,47.73067,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),500119.9726987026,5286366.020307849,32N,Central European Time,2009-04-13 13:00:00.000
209274882,2009-04-14 06:00:00.000,9.104,47.69633,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),507803.34998158703,5282554.69992797,32N,Central European Time,2009-04-14 08:00:00.000
209274883,2009-04-14 09:00:00.000,9.104,47.6975,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),507803.1754150239,5282684.733649919,32N,Central European Time,2009-04-14 11:00:00.000
209274884,2009-04-14 11:00:00.000,9.1038,47.6975,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),507788.16930997896,5282684.713523834,32N,Central European Time,2009-04-14 13:00:00.000
209274885,2009-04-14 13:00:00.000,9.104,47.69733,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),507803.20077959995,5282665.839859605,32N,Central European Time,2009-04-14 15:00:00.000
209274886,2009-04-15 06:00:00.000,9.085,47.9375,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),506348.27223866567,5309357.143004248,32N,Central European Time,2009-04-15 08:00:00.000
209274887,2009-04-15 09:00:00.000,9.0793,47.93717,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),505922.60228694027,5309320.012129431,32N,Central European Time,2009-04-15 11:00:00.000
209274888,2009-04-15 11:00:00.000,9.0808,47.93583,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),506034.78725371393,5309171.1945668645,32N,Central European Time,2009-04-15 13:00:00.000
209274889,2009-04-15 13:00:00.000,9.0808,47.93583,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),506034.78725371393,5309171.1945668645,32N,Central European Time,2009-04-15 15:00:00.000
209274890,2009-04-16 18:00:00.000,9.7201,49.55583,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),552081.140281365,5489496.832823116,32N,Central European Time,2009-04-16 20:00:00.000
209274891,2009-04-16 23:00:00.000,9.7348,49.53617,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553165.6373597087,5487321.417851378,32N,Central European Time,2009-04-17 01:00:00.000
209274892,2009-04-17 05:00:00.000,9.7351,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553186.8007110809,5487377.216794808,32N,Central European Time,2009-04-17 07:00:00.000
209274893,2009-04-17 09:00:00.000,9.7351,49.5365,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553186.9852053365,5487358.317180771,32N,Central European Time,2009-04-17 11:00:00.000
209274894,2009-04-17 17:00:00.000,9.7353,49.5365,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553201.4557612216,5487358.458458487,32N,Central European Time,2009-04-17 19:00:00.000
209274895,2009-04-17 18:00:00.000,9.7351,49.53633,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553187.1696991196,5487339.417567285,32N,Central European Time,2009-04-17 20:00:00.000
209274896,2009-04-17 23:00:00.000,9.7348,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553165.0949523633,5487377.004950503,32N,Central European Time,2009-04-18 01:00:00.000
209274897,2009-04-18 05:00:00.000,9.7348,49.5365,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553165.2793713189,5487358.105336267,32N,Central European Time,2009-04-18 07:00:00.000
209274898,2009-04-18 09:00:00.000,9.7346,49.5365,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553150.8088151804,5487357.964154641,32N,Central European Time,2009-04-18 11:00:00.000
209274899,2009-04-18 23:00:00.000,9.735,49.537,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553179.2073696681,5487413.833658197,32N,Central European Time,2009-04-19 01:00:00.000
209274900,2009-04-19 05:00:00.000,9.7351,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553186.8007110809,5487377.216794808,32N,Central European Time,2009-04-19 07:00:00.000
209274901,2009-04-19 09:00:00.000,9.7336,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553078.2719152105,5487376.158438081,32N,Central European Time,2009-04-19 11:00:00.000
209274902,2009-04-19 17:00:00.000,9.735,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553179.5654582004,5487377.146170431,32N,Central European Time,2009-04-19 19:00:00.000
209274903,2009-04-19 18:00:00.000,9.735,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553179.5654582004,5487377.146170431,32N,Central European Time,2009-04-19 20:00:00.000
209274904,2009-04-19 23:00:00.000,9.7348,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553165.0949523633,5487377.004950503,32N,Central European Time,2009-04-20 01:00:00.000
209274905,2009-04-20 05:00:00.000,9.7348,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553165.0949523633,5487377.004950503,32N,Central European Time,2009-04-20 07:00:00.000
209274906,2009-04-20 17:00:00.000,9.7333,49.54017,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553052.7769412604,5487765.05687348,32N,Central European Time,2009-04-20 19:00:00.000
209274907,2009-04-20 18:00:00.000,9.7328,49.54017,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553016.6032582134,5487764.704719288,32N,Central European Time,2009-04-20 20:00:00.000
209274908,2009-04-20 23:00:00.000,9.7348,49.53667,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553165.0949523633,5487377.004950503,32N,Central European Time,2009-04-21 01:00:00.000
209274909,2009-04-21 05:00:00.000,9.7348,49.53683,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553164.9213811503,5487394.792823225,32N,Central European Time,2009-04-21 07:00:00.000
209274910,2009-04-21 06:00:00.000,9.7346,49.53683,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553150.4509224588,5487394.651641858,32N,Central European Time,2009-04-21 08:00:00.000
209274911,2009-04-21 11:00:00.000,9.7333,49.53983,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553053.1450451007,5487727.257620963,32N,Central European Time,2009-04-21 13:00:00.000
209274912,2009-04-21 13:00:00.000,9.734,49.53917,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553104.5037830123,5487654.376029801,32N,Central European Time,2009-04-21 15:00:00.000
209274913,2009-04-21 17:00:00.000,9.733,49.54017,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553031.0727315083,5487764.845552139,32N,Central European Time,2009-04-21 19:00:00.000
209274914,2009-04-21 18:00:00.000,9.7341,49.53917,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553111.738667022,5487654.446557116,32N,Central European Time,2009-04-21 20:00:00.000
209274915,2009-04-22 11:00:00.000,9.733,49.54017,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553031.0727315083,5487764.845552139,32N,Central European Time,2009-04-22 13:00:00.000
209274916,2009-04-22 13:00:00.000,9.733,49.54033,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553030.899576394,5487782.633436621,32N,Central European Time,2009-04-22 15:00:00.000
209274917,2009-04-22 18:00:00.000,9.7335,49.539,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553068.5134621699,5487635.123914188,32N,Central European Time,2009-04-22 20:00:00.000
209274918,2009-04-23 05:00:00.000,9.7333,49.54067,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553052.2356086604,5487820.644013522,32N,Central European Time,2009-04-23 07:00:00.000
209274919,2009-04-23 06:00:00.000,9.733,49.53983,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553031.4406847411,5487727.046299225,32N,Central European Time,2009-04-23 08:00:00.000
209274920,2009-04-23 11:00:00.000,9.7333,49.53833,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553054.7690101358,5487560.496239022,32N,Central European Time,2009-04-23 13:00:00.000
209274921,2009-04-23 13:00:00.000,9.7341,49.5385,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553112.4648268085,5487579.959811721,32N,Central European Time,2009-04-23 15:00:00.000
209274922,2009-04-23 17:00:00.000,9.7345,49.5385,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553141.4047583009,5487580.242018113,32N,Central European Time,2009-04-23 19:00:00.000
209274923,2009-04-23 18:00:00.000,9.7343,49.53817,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553127.2925481526,5487543.413397629,32N,Central European Time,2009-04-23 20:00:00.000
209274924,2009-04-24 05:00:00.000,9.7345,49.538,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553141.9469591171,5487524.65490102,32N,Central European Time,2009-04-24 07:00:00.000
209274925,2009-04-24 11:00:00.000,9.7341,49.5385,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553112.4648268085,5487579.959811721,32N,Central European Time,2009-04-24 13:00:00.000
209274926,2009-04-24 13:00:00.000,9.7348,49.53833,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553163.294130691,5487561.554153655,32N,Central European Time,2009-04-24 15:00:00.000
209274927,2009-04-24 17:00:00.000,9.7338,49.53833,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553090.9440509544,5487560.848637013,32N,Central European Time,2009-04-24 19:00:00.000
209274928,2009-04-24 18:00:00.000,9.7338,49.53917,gps,Anas platyrhynchos,41722,41722A,Navigation and migration in European mallards (van Toor et al. 2013),553090.0340149169,5487654.235003997,32N,Central European Time,2009-04-24 20:00:00.000
